PHR,group,level,n,answer,pct,low,high
11,Age,65+,163,NO,34.0,24.4,45.1
11,Education,Less than high school,98,NO,74.4,59.1,85.5
11,Education,High school graduate,152,NO,80.3,68.5,88.4
11,Education,Some college,128,NO,71.5,59.2,81.2
11,Education,College graduate,149,NO,69.4,57.2,79.3
11,Income,"<$25,000",143,NO,70.6,56.6,81.6
11,Income,"$25,000 to <$50,000",136,NO,75.2,63.0,84.4
11,Income,"$50,000+",178,NO,75.7,66.1,83.4
11,Marital Status,Married,240,NO,74.8,67.1,81.2
11,Marital Status,Not married,288,NO,74.8,65.3,82.4
11,Employment Status,Employed,255,NO,84.4,76.5,90.0
11,Employment Status,Not employed,269,NO,63.8,54.0,72.7
11,Health Insurance,Health insurance,407,NO,67.9,60.7,74.4
11,Health Insurance,No health insurance,81,NO,90.2,67.3,97.6
11,Disability Status,Has disability,206,NO,70.0,59.6,78.8
11,Disability Status,No disability,323,NO,77.1,69.2,83.4
11,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,NO,,,
11,Sexual Orientation,Straight,413,NO,73.8,66.3,80.1
1,Total,Total,815,YES,32.5,25.1,41.0
1,Sex,Male,396,YES,29.8,21.8,39.2
1,Sex,Female,419,YES,34.8,23.5,48.2
1,Race/Ethnicity,"White, Non-Hispanic",544,YES,31.1,23.7,39.6
1,Race/Ethnicity,"Black, Non-Hispanic",N,YES,,,
1,Race/Ethnicity,Hispanic,169,YES,31.3,17.6,49.3
1,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,YES,,,
1,Age,18 to 29,101,YES,,,
1,Age,30 to 44,175,YES,,,
1,Age,45 to 64,240,YES,33.1,20.5,48.7
1,Age,65+,295,YES,72.7,62.9,80.6
1,Education,Less than high school,67,YES,57.9,36.7,76.6
1,Education,High school graduate,199,YES,,,
1,Education,Some college,231,YES,31.5,21.2,43.9
1,Education,College graduate,315,YES,29.7,20.0,41.6
1,Income,"<$25,000",114,YES,36.6,19.1,58.6
1,Income,"$25,000 to <$50,000",185,YES,38.3,21.4,58.6
1,Income,"$50,000+",401,YES,27.4,19.7,36.8
1,Marital Status,Married,421,YES,30.0,21.0,40.9
1,Marital Status,Not married,392,YES,35.6,24.0,49.2
1,Employment Status,Employed,426,YES,16.5,11.1,23.7
1,Employment Status,Not employed,380,YES,51.8,39.1,64.3
1,Health Insurance,Health insurance,708,YES,38.7,30.1,48.1
1,Health Insurance,No health insurance,72,YES,,,
1,Disability Status,Has disability,261,YES,55.8,41.4,69.3
1,Disability Status,No disability,548,YES,19.3,14.3,25.5
1,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,YES,,,
1,Sexual Orientation,Straight,710,YES,27.8,21.7,34.9
1,Total,Total,815,NO,67.5,59.0,74.9
1,Sex,Male,396,NO,70.2,60.8,78.2
1,Sex,Female,419,NO,65.2,51.8,76.5
1,Race/Ethnicity,"White, Non-Hispanic",544,NO,68.9,60.4,76.3
1,Race/Ethnicity,"Black, Non-Hispanic",N,NO,,,
1,Race/Ethnicity,Hispanic,169,NO,68.7,50.7,82.4
1,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,NO,,,
1,Age,18 to 29,101,NO,76.4,48.0,91.9
1,Age,30 to 44,175,NO,90.0,78.4,95.7
1,Age,45 to 64,240,NO,66.9,51.3,79.5
1,Age,65+,295,NO,27.3,19.4,37.1
1,Education,Less than high school,67,NO,42.1,23.4,63.3
1,Education,High school graduate,199,NO,76.0,58.4,87.7
1,Education,Some college,231,NO,68.5,56.1,78.8
1,Education,College graduate,315,NO,70.3,58.4,80.0
1,Income,"<$25,000",114,NO,63.4,41.4,80.9
1,Income,"$25,000 to <$50,000",185,NO,61.7,41.4,78.6
1,Income,"$50,000+",401,NO,72.6,63.2,80.3
1,Marital Status,Married,421,NO,70.0,59.1,79.0
1,Marital Status,Not married,392,NO,64.4,50.8,76.0
1,Employment Status,Employed,426,NO,83.5,76.3,88.9
1,Employment Status,Not employed,380,NO,48.2,35.7,60.9
1,Health Insurance,Health insurance,708,NO,61.3,51.9,69.9
1,Health Insurance,No health insurance,72,NO,93.7,86.7,97.1
1,Disability Status,Has disability,261,NO,44.2,30.7,58.6
1,Disability Status,No disability,548,NO,80.7,74.5,85.7
1,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,NO,,,
1,Sexual Orientation,Straight,710,NO,72.2,65.1,78.3
2,Total,Total,789,YES,38.5,30.2,47.4
2,Sex,Male,376,YES,41.7,29.2,55.3
2,Sex,Female,413,YES,35.3,25.3,46.7
