source_file,group,category,sample_size,response,pct,ci_low,ci_high
2024_PHR10_BRFSS_Summary_Tables.xlsx,Disability Status,Has disability,159,NO,,,
2024_PHR10_BRFSS_Summary_Tables.xlsx,Disability Status,No disability,253,NO,13.0,8.6,19.0
2024_PHR10_BRFSS_Summary_Tables.xlsx,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,NO,,,
2024_PHR10_BRFSS_Summary_Tables.xlsx,Sexual Orientation,Straight,351,NO,10.3,6.9,15.2
2024_PHR11_BRFSS_Summary_Tables.xlsx,Total,Total,634,YES,73.8,67.7,79.2
2024_PHR11_BRFSS_Summary_Tables.xlsx,Sex,Male,312,YES,75.1,66.4,82.1
2024_PHR11_BRFSS_Summary_Tables.xlsx,Sex,Female,322,YES,72.7,63.7,80.1
2024_PHR11_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"White, Non-Hispanic",137,YES,74.8,59.7,85.7
2024_PHR11_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"Black, Non-Hispanic",N,YES,,,
2024_PHR11_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,Hispanic,445,YES,75.7,68.9,81.4
2024_PHR11_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,YES,,,
2024_PHR11_BRFSS_Summary_Tables.xlsx,Age,18 to 29,98,YES,56.0,42.7,68.6
2024_PHR11_BRFSS_Summary_Tables.xlsx,Age,30 to 44,153,YES,64.3,51.2,75.6
2024_PHR11_BRFSS_Summary_Tables.xlsx,Age,45 to 64,195,YES,87.3,79.8,92.3
2024_PHR11_BRFSS_Summary_Tables.xlsx,Age,65+,184,YES,95.4,88.6,98.2
2024_PHR11_BRFSS_Summary_Tables.xlsx,Education,Less than high school,113,YES,77.0,61.0,87.8
2024_PHR11_BRFSS_Summary_Tables.xlsx,Education,High school graduate,184,YES,75.2,64.2,83.7
2024_PHR11_BRFSS_Summary_Tables.xlsx,Education,Some college,147,YES,67.8,54.6,78.6
2024_PHR11_BRFSS_Summary_Tables.xlsx,Education,College graduate,182,YES,72.5,61.6,81.2
2024_PHR11_BRFSS_Summary_Tables.xlsx,Income,"<$25,000",156,YES,80.1,69.4,87.7
2024_PHR11_BRFSS_Summary_Tables.xlsx,Income,"$25,000 to <$50,000",155,YES,69.6,55.8,80.5
2024_PHR11_BRFSS_Summary_Tables.xlsx,Income,"$50,000+",213,YES,73.0,62.1,81.7
2024_PHR11_BRFSS_Summary_Tables.xlsx,Marital Status,Married,288,YES,79.5,70.2,86.5
2024_PHR11_BRFSS_Summary_Tables.xlsx,Marital Status,Not married,341,YES,69.2,60.6,76.6
2024_PHR11_BRFSS_Summary_Tables.xlsx,Employment Status,Employed,309,YES,72.8,64.7,79.7
2024_PHR11_BRFSS_Summary_Tables.xlsx,Employment Status,Not employed,309,YES,74.9,64.8,82.8
2024_PHR11_BRFSS_Summary_Tables.xlsx,Health Insurance,Health insurance,486,YES,83.8,77.7,88.5
2024_PHR11_BRFSS_Summary_Tables.xlsx,Health Insurance,No health insurance,96,YES,49.2,34.5,64.0
2024_PHR11_BRFSS_Summary_Tables.xlsx,Disability Status,Has disability,224,YES,80.0,69.0,87.8
2024_PHR11_BRFSS_Summary_Tables.xlsx,Disability Status,No disability,369,YES,71.7,63.7,78.5
2024_PHR11_BRFSS_Summary_Tables.xlsx,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,YES,,,
2024_PHR11_BRFSS_Summary_Tables.xlsx,Sexual Orientation,Straight,483,YES,74.2,67.1,80.2
2024_PHR11_BRFSS_Summary_Tables.xlsx,Total,Total,634,NO,12.1,8.4,17.3
2024_PHR11_BRFSS_Summary_Tables.xlsx,Sex,Male,312,NO,8.3,4.7,14.2
2024_PHR11_BRFSS_Summary_Tables.xlsx,Sex,Female,322,NO,15.8,9.9,24.4
2024_PHR11_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"White, Non-Hispanic",137,NO,,,
