mtry,cutoff,precision,precision_std,recall,recall_std,accuracy,accuracy_std
5,0.2,0.99375,0.01976423537605237,0.888235294117647,0.09784294078333058,0.9412605042016806,0.050045997249892976
5,0.30000000000000004,0.9774509803921568,0.029125941127316327,0.9529411764705882,0.07231015260621874,0.964873949579832,0.03326334955031706
5,0.4,0.9678362573099415,0.04470699782136341,0.9588235294117647,0.07362738570791606,0.9618487394957983,0.034128178382248055
5,0.5,0.9611695906432749,0.04434704282068047,0.9588235294117647,0.07362738570791606,0.9589075630252101,0.03973140288142921
10,0.2,0.9804166666666667,0.03155254778310205,0.8941176470588235,0.08225951750354131,0.9383193277310924,0.04898390056032372
10,0.30000000000000004,0.9774509803921568,0.029125941127316327,0.9529411764705882,0.07231015260621874,0.9647899159663865,0.03340845523703662
10,0.4,0.9678362573099415,0.04470699782136341,0.9588235294117647,0.07362738570791606,0.9618487394957983,0.034128178382248055
10,0.5,0.9490372377020984,0.03968259480300372,0.9647058823529412,0.06323339410430236,0.9559663865546218,0.03985906800268148
15,0.2,0.9815686274509804,0.029754000158616217,0.888235294117647,0.09383126363925805,0.9354621848739496,0.04765330782709058
15,0.30000000000000004,0.9715686274509804,0.03981775781975528,0.9411764705882353,0.06792356108113247,0.9560504201680672,0.037262377885569534
15,0.4,0.9678362573099415,0.04470699782136341,0.9588235294117647,0.07362738570791606,0.9618487394957983,0.034128178382248055
15,0.5,0.9490372377020984,0.03968259480300372,0.9647058823529412,0.06323339410430236,0.9559663865546218,0.03985906800268148
20,0.2,0.975735294117647,0.031349562657489186,0.888235294117647,0.09784294078333058,0.9325210084033613,0.048166322929329784
20,0.30000000000000004,0.9771241830065359,0.029552636092049108,0.9470588235294117,0.07042464704340383,0.9618487394957983,0.034128178382248055
20,0.4,0.9678362573099415,0.04470699782136341,0.9588235294117647,0.07362738570791606,0.9618487394957983,0.034128178382248055
20,0.5,0.9490372377020984,0.03968259480300372,0.9647058823529412,0.06323339410430236,0.9559663865546218,0.03985906800268148
25,0.2,0.9812009803921569,0.030325769523515594,0.8705882352941177,0.09920871090724327,0.9266386554621848,0.050525955005757746
25,0.30000000000000004,0.9715686274509804,0.03981775781975528,0.9411764705882353,0.06792356108113247,0.9560504201680672,0.037262377885569534
25,0.4,0.9678362573099415,0.04470699782136341,0.9647058823529412,0.06323339410430236,0.9647899159663865,0.030395577393388704
25,0.5,0.9557039043687651,0.04226703608784282,0.9647058823529412,0.06323339410430236,0.9589075630252101,0.034555996041660375
30,0.2,0.9745343137254902,0.03294833451705204,0.8705882352941177,0.09920871090724327,0.9236974789915966,0.052312452401758046
30,0.30000000000000004,0.9712418300653595,0.04007767246210692,0.9294117647058824,0.07744477512992745,0.9501680672268907,0.041673763018797744
30,0.4,0.9557039043687651,0.04226703608784282,0.9647058823529412,0.06323339410430236,0.9589075630252101,0.034555996041660375
30,0.5,0.9557039043687651,0.04226703608784282,0.9647058823529412,0.06323339410430236,0.9589075630252101,0.034555996041660375
35,0.2,0.9745343137254902,0.03294833451705204,0.8764705882352941,0.09383126363925803,0.9266386554621848,0.050525955005757746
35,0.30000000000000004,0.9709150326797386,0.04134987866114154,0.9411764705882353,0.06200544431702706,0.9560504201680672,0.039758251494935976
35,0.4,0.9557039043687651,0.04226703608784282,0.9647058823529412,0.06323339410430236,0.9589075630252101,0.034555996041660375
35,0.5,0.9557039043687651,0.04226703608784282,0.9647058823529412,0.06323339410430236,0.9589075630252101,0.034555996041660375
40,0.2,0.9740581232492997,0.03363717054381372,0.8647058823529412,0.10394006494665546,0.9207563025210084,0.05561765550570597
40,0.30000000000000004,0.9712418300653595,0.04110089778494972,0.9411764705882353,0.07336583111321456,0.9559663865546218,0.04220164757790842
40,0.4,0.9557039043687651,0.04226703608784282,0.9647058823529412,0.06323339410430236,0.9589075630252101,0.034555996041660375
40,0.5,0.9557039043687651,0.04226703608784282,0.9647058823529412,0.06323339410430236,0.9589075630252101,0.034555996041660375
45,0.2,0.9753186274509804,0.03193640931657602,0.8941176470588235,0.09920871090724327,0.9354621848739496,0.05152965417464633
45,0.30000000000000004,0.9712418300653595,0.04110089778494972,0.9411764705882353,0.07336583111321456,0.9559663865546218,0.04220164757790842
45,0.4,0.9557039043687651,0.04226703608784282,0.9647058823529412,0.06323339410430236,0.9589075630252101,0.034555996041660375
45,0.5,0.9490372377020984,0.03968259480300372,0.9647058823529412,0.06323339410430236,0.9559663865546218,0.03985906800268148
50,0.2,0.975735294117647,0.031349562657489186,0.888235294117647,0.09784294078333058,0.9325210084033613,0.048166322929329784
50,0.30000000000000004,0.9712418300653595,0.04110089778494972,0.9352941176470588,0.08524339262464378,0.9530252100840336,0.046436883210185007
50,0.4,0.9551191090471276,0.04323368647210099,0.9588235294117647,0.06231470032184591,0.9559663865546218,0.037369928362184335
50,0.5,0.9557039043687651,0.04226703608784282,0.9647058823529412,0.06323339410430236,0.9589075630252101,0.034555996041660375
