max_depth,eta,cutoff,precision,precision_std,recall,recall_std,accuracy,accuracy_std
3,0.01,0.5,0.8947368421052632,0,1,0,0.9411764705882353,0
3,0.01,0.5,0.9155975877192982,0.02234274089184611,0.9338235294117647,0.07331902675048382,0.9227941176470588,0.02188305321008368
3,0.01,0.5,0.9235111369109047,0.02134326632005934,0.9264705882352942,0.06207586506012782,0.9240196078431372,0.01966346833592711
3,0.01,0.5,0.9426333526831785,0.03878360798007827,0.9448529411764706,0.0625072083501768,0.9430147058823529,0.037922932230081266
3,0.01,0.5,0.9319243323326141,0.05203115120577604,0.9558823529411764,0.059973283677431946,0.9411764705882353,0.04048512950656973
3,0.01,0.5,0.9257264172947223,0.04936433817443489,0.9632352941176471,0.057038122118067074,0.9411764705882353,0.03679666130418967
3,0.01,0.5,0.9284004211732539,0.04604688479064652,0.9684873949579832,0.05424949094937928,0.9453781512605042,0.0355422340068614
3,0.01,0.5,0.9288525615090534,0.0436804555048716,0.9724264705882353,0.051724097837771654,0.9477415966386554,0.03406409586388937
3,0.01,0.5,0.930584992946319,0.04140801432702031,0.9754901960784313,0.04946575681600489,0.9502801120448179,0.03287514512834492
3,0.01,0.5,0.9294855579791725,0.040165627002278305,0.9779411764705882,0.04744842494645893,0.9508403361344537,0.03154368933045498
5,0.01,0.5,0.8723684210526316,0.025828827832167483,1,0,0.9264705882352942,0.016980890270283114
5,0.01,0.5,0.9048116615067079,0.03869922600340555,0.9411764705882353,0.07701807890682086,0.9191176470588235,0.026070742953762306
5,0.01,0.5,0.9160141468868249,0.03503951570393562,0.9264705882352942,0.06695178623288192,0.9191176470588235,0.02216995180718851
5,0.01,0.5,0.9370106101651187,0.0480737730561917,0.9448529411764706,0.06609472074777717,0.9393382352941176,0.04085130715686406
5,0.01,0.5,0.9373069008305076,0.0556814396781965,0.9558823529411764,0.06293669148686107,0.9441176470588235,0.04362469698291568
5,0.01,0.5,0.9294808968909201,0.05368314495631004,0.9558823529411764,0.05818063000551063,0.9399509803921569,0.041120867341365434
5,0.01,0.5,0.9316185465414236,0.04983339834182252,0.9621848739495799,0.055952337130078925,0.944327731092437,0.03949190768263216
5,0.01,0.5,0.9332217837793012,0.046706595423442715,0.9669117647058824,0.05374157757637346,0.9477153361344538,0.03796436583437834
5,0.01,0.5,0.9318452892853047,0.04624845536720601,0.9705882352941176,0.05166529797962823,0.9486227824463118,0.03684422696229125
5,0.01,0.5,0.9306198246842596,0.04468512843331573,0.9735294117647059,0.04975318373720713,0.9493487394957983,0.03528898060315892
7,0.01,0.5,0.8723684210526316,0.025828827832167483,1,0,0.9264705882352942,0.016980890270283114
7,0.01,0.5,0.9048116615067079,0.03869922600340555,0.9411764705882353,0.07701807890682086,0.9191176470588235,0.026070742953762306
7,0.01,0.5,0.9160141468868249,0.03503951570393562,0.9264705882352942,0.06695178623288192,0.9191176470588235,0.02216995180718851
7,0.01,0.5,0.9370106101651187,0.0480737730561917,0.9448529411764706,0.06609472074777717,0.9393382352941176,0.04085130715686406
7,0.01,0.5,0.9348215207135486,0.056450143281068677,0.9558823529411764,0.06293669148686107,0.9426470588235294,0.04317886631731703
7,0.01,0.5,0.9274097467934542,0.05403844480405355,0.9558823529411764,0.05818063000551063,0.9387254901960784,0.04060312068743236
7,0.01,0.5,0.92984327502931,0.050243273702275555,0.9621848739495799,0.055952337130078925,0.9432773109243697,0.03915728611362649
7,0.01,0.5,0.9316684212062017,0.047145832926282404,0.9669117647058824,0.05374157757637346,0.9467962184873949,0.037748163657148524
7,0.01,0.5,0.9304645225536609,0.04660222262406614,0.9705882352941176,0.05166529797962823,0.9478057889822595,0.03666891807109225
7,0.01,0.5,0.9281344445673005,0.04523996403863022,0.9735294117647059,0.04975318373720713,0.9478781512605042,0.03497691851842784
9,0.01,0.5,0.8723684210526316,0.025828827832167483,1,0,0.9264705882352942,0.016980890270283114
9,0.01,0.5,0.9131449948400413,0.05095542746727757,0.9411764705882353,0.07701807890682086,0.9227941176470588,0.021883053210083683
9,0.01,0.5,0.9215697024423805,0.04252137772722883,0.9264705882352942,0.06695178623288192,0.9215686274509803,0.019157027861144992
9,0.01,0.5,0.9411772768317853,0.05055866422745537,0.9448529411764706,0.06609472074777717,0.9411764705882353,0.03872238756496373
9,0.01,0.5,0.9381548540468819,0.058295775820065794,0.9558823529411764,0.06293669148686107,0.9441176470588235,0.041484912880731833
9,0.01,0.5,0.930187524571232,0.05603283264427357,0.9558823529411764,0.05818063000551063,0.9399509803921569,0.039248973511022224
9,0.01,0.5,0.9322242274102623,0.05196490707077488,0.9621848739495799,0.055952337130078925,0.944327731092437,0.03783457327518235
9,0.01,0.5,0.9337517545395351,0.04867010749501775,0.9669117647058824,0.05374157757637346,0.9477153361344538,0.03646468802560475
9,0.01,0.5,0.9323163744055126,0.04802241920808092,0.9705882352941176,0.05166529797962823,0.9486227824463118,0.03547723193552743
9,0.01,0.5,0.9298011112339672,0.04664267826803002,0.9735294117647059,0.04975318373720713,0.9486134453781513,0.03385527638144271
3,0.05,0.5,0.9444444444444444,0,1,0,0.9705882352941176,0
