FNloss,cp,precision,precision_std,recall,recall_std,accuracy,accuracy_std
1,0,0.8507596196373286,0.07633701735450238,0.8834558823529411,0.07843232995739177,0.8659536541889483,0.0680043373064825
1.1,0.007966298338429581,0.8414946680426556,0.09616132127950144,0.8959558823529412,0.056026484664418896,0.8628342245989304,0.07915104247397921
1.2,0,0.8180997279294493,0.10513596369914542,0.8959558823529412,0.07578346554835713,0.8481283422459893,0.09854942054704088
1.3,7.530369528289499e-4,0.8326644541389123,0.079998982508244,0.8886029411764705,0.08123530387897315,0.8566844919786096,0.07089132510945156
1.4,0,0.8571370214752567,0.08336254492008614,0.919485294117647,0.058732824266247305,0.883868092691622,0.06694855635450815
1.5,0.004105683291742848,0.8368070409982175,0.09385213285384358,0.9319852941176471,0.0681498172225455,0.8745989304812835,0.0801820429231461
1.6,0,0.8834477124183007,0.07875349157585396,0.9257352941176471,0.07041611640960793,0.9016042780748663,0.06157578216112452
1.7000000000000002,0,0.864548442183891,0.0643418521653388,0.919485294117647,0.06570844848149623,0.8896613190730838,0.05663227501586271
1.8,0.0027261324689789555,0.8683184789067142,0.07720437948570202,0.9257352941176471,0.06395603094826868,0.8926916221033868,0.06329756864831984
1.9,9.636260319125092e-4,0.8687628384687208,0.09348556745090641,0.9253676470588236,0.06463923521024934,0.8897504456327986,0.07420442546632282
2,0.0023994038138326337,0.8622859845692663,0.09353579568906528,0.9319852941176471,0.05392853119041208,0.8894830659536541,0.07112773500485049
2.1,0.0022852092740618937,0.8768860877684407,0.08314000099786654,0.944485294117647,0.05373882804596636,0.9045454545454545,0.06588463197377842
2.2,0.0021710147342911554,0.8815604575163398,0.07278442341842069,0.9257352941176471,0.06395603094826868,0.9016042780748663,0.06321105725168404
2.3,0.001256549120506545,0.8679295051353875,0.09346093016298533,0.9191176470588235,0.07258378870078847,0.8867201426024955,0.07531232384077247
2.4000000000000004,0.0013297798926550546,0.8659244926040591,0.07510203685019465,0.919485294117647,0.0720114973972976,0.8896613190730838,0.06474594552910577
2.5,0.0014030106648035634,0.873844107818566,0.08077346668556643,0.9257352941176471,0.07041611640960793,0.8955436720142602,0.0666522608177239
2.6,0.0014762414369520725,0.8551724286205711,0.09593332780644684,0.9378676470588235,0.065891042041968,0.8867201426024955,0.07904838639112234
2.7,0.001600042035437459,0.8607081429062853,0.08235152703950095,0.944485294117647,0.05373882804596636,0.8957219251336899,0.06777396242544388
2.8,0.0016227029812490902,0.8175320542890202,0.10658202793442723,0.9378676470588235,0.051044277938523945,0.8630124777183601,0.08797036756695135
2.9000000000000004,0.0016959337533975997,0.8815114379084967,0.07358332415947444,0.9319852941176471,0.07424589647261264,0.9044563279857397,0.06898956098721823
3,0.0012574584161252407,0.8443891591724408,0.09590240294865568,0.9441176470588235,0.05469037484891611,0.8839572192513369,0.07832416735612806
3.1,0.0011432638763545007,0.8614234728979311,0.07386839761431231,0.9566176470588236,0.05131863658157804,0.9014260249554367,0.061930240597034704
3.2,0.0010290693365837625,0.8204407464740282,0.08998486880910843,0.9378676470588235,0.065891042041968,0.8660427807486631,0.07293514393964
3.3000000000000003,9.148747968130224e-4,0.808860023275658,0.11045679823763233,0.9264705882352942,0.06256004420637362,0.8515151515151516,0.09602184478980408
3.4000000000000004,8.264977576445298e-4,0.8503699813258636,0.07603248555550905,0.9378676470588235,0.05893703305919664,0.8865418894830659,0.06345890330441378
3.5,9.44855572355153e-4,0.8058534258998655,0.11037825282426629,0.9080882352941176,0.0718350533811414,0.8424242424242424,0.09738505900099521
3.6,0.0010632133870657767,0.8233588371552768,0.09256268587743648,0.9503676470588235,0.04921071815015015,0.8720142602495544,0.07393530277100892
3.7,0.0011815712017764005,0.8061669604045765,0.08489480701037104,0.9566176470588236,0.04201841150063296,0.8632798573975045,0.06700805339717138
3.8000000000000003,0.001299929016487024,0.8144533012567068,0.0566168855736127,0.9503676470588235,0.04921071815015015,0.8690730837789661,0.04500170547592316
3.9000000000000004,0.0014182868311976478,0.8471403497603188,0.061135520014943615,0.9441176470588235,0.062121595735062304,0.8869875222816399,0.041223215136091035
4,0.022127643931266865,0.8451020432096283,0.07436830230333233,0.9503676470588235,0.039416230480576936,0.8868092691622103,0.04859373150257603
4.1,0.0016550024606188933,0.8206093162943008,0.08331633489439547,0.9441176470588235,0.05469037484891611,0.8691622103386809,0.06856350213791915
4.2,0.001773360275329518,0.8551603998856321,0.05349454893036021,0.9441176470588235,0.062121595735062304,0.8928698752228164,0.04000404923707384
4.300000000000001,2.751431117641884e-4,0.8342392802416022,0.08902363835880593,0.9327205882352941,0.0667650387973618,0.8723707664884135,0.07939859858014779
4.4,3.9336777961635914e-4,0.8189206527906219,0.0788840295595441,0.9327205882352941,0.0667650387973618,0.863458110516934,0.07453642815288412
4.5,0.001984342838741683,0.8266142182550851,0.05351687320810286,0.9503676470588235,0.04921071815015015,0.8778966131907309,0.04803104827258419
4.6,6.298171153207025e-4,0.8181249134422509,0.08211033725380218,0.9327205882352941,0.059912560035919604,0.8632798573975045,0.0800775672866886
4.7,7.480417831728742e-4,0.7720972294333446,0.07431558798171524,0.9503676470588235,0.057356345214885106,0.8367201426024955,0.06803625770881765
4.800000000000001,8.662664510250467e-4,0.7995465490821527,0.08510716553075934,0.9378676470588235,0.051044277938523945,0.8514260249554367,0.0747767173697391
4.9,9.844911188772174e-4,0.8091981848560795,0.10954123130039246,0.9327205882352941,0.0667650387973618,0.8544563279857398,0.09551851409777261
5,0.001984342838741683,0.7947477874722457,0.08106246250367133,0.9378676470588235,0.041682883234125334,0.8484848484848485,0.07127153272667307
5.1000000000000005,0.0012209404545815616,0.7563067651302945,0.09437180899589016,0.9264705882352942,0.055187893378420116,0.8131016042780749,0.08489358746057889
5.2,0.001984342838741683,0.7525807271802695,0.08962287938526602,0.9503676470588235,0.04921071815015015,0.818716577540107,0.07958335828340389
5.3,0.001984342838741683,0.7645931059824248,0.10548599869516269,0.9202205882352941,0.05729871116384786,0.8159536541889483,0.09026237057118586
5.4,0.038530154808228585,0.7708538609951989,0.09292435598969215,0.9253676470588236,0.04941780668397602,0.8218360071301247,0.06288943914108315
5.5,0,0.7428578829076877,0.08017401361028306,0.9202205882352941,0.05729871116384786,0.8010695187165775,0.07110887099651915
5.6000000000000005,0.04087337064779455,0.776674289332958,0.11497613196539852,0.8952205882352942,0.04996785058302724,0.8155080213903744,0.09435168839582497
5.7,0,0.7586252424830968,0.08115647378154785,0.9327205882352941,0.059912560035919604,0.8188948306595365,0.07960731007021275
5.800000000000001,0.0020485131295467636,0.769969102534892,0.10759987940944513,0.9264705882352942,0.055187893378420116,0.8219251336898395,0.09862963433052895
5.9,0.044388194407143484,0.7919147161673074,0.11946578313486532,0.9139705882352941,0.05065293590125994,0.8306595365418895,0.09279820798742547
6,0.04555980232692646,0.8039595340944782,0.12214579578848522,0.9077205882352941,0.04197013193022721,0.836541889483066,0.09617063706748002
6.1000000000000005,0,0.7802095340944782,0.10270972900332681,0.9202205882352941,0.04914353208187734,0.8276292335115865,0.08826499797107815
6.2,0.002521411800955449,0.7869676084149768,0.10915544814102338,0.9264705882352942,0.06256004420637362,0.8364527629233511,0.09583235218554662
6.300000000000001,0.04907462608627541,0.7758197494724954,0.10215344209012199,0.9202205882352941,0.04914353208187734,0.824777183600713,0.07974622138327415
6.4,0.050246234006058384,0.7915132751665259,0.09558071719050401,0.9077205882352941,0.051279113972417974,0.8336898395721926,0.08197942593140076
6.5,0.002876085804511964,0.7715087909166857,0.10014723685308052,0.9202205882352941,0.07084668949322315,0.8245989304812834,0.0941117201060256
6.6000000000000005,0.05258944984562435,0.8159108550847008,0.10292445987529497,0.9253676470588236,0.03967447620195218,0.8540998217468806,0.07040315006051001
6.7,0,0.7637787512550267,0.09393222447101694,0.9264705882352942,0.05518789337842011,0.818716577540107,0.08212571722775973
6.800000000000001,0.054932665685190306,0.7675636953345931,0.0867852199224619,0.9139705882352941,0.05065293590125994,0.8188057040998218,0.07077450760344585
6.9,0,0.769726644558385,0.06891194560988202,0.9378676470588235,0.04168288323412533,0.8304812834224599,0.05567505679795086
7,0,0.7690419091497634,0.09695770539759124,0.9327205882352941,0.059912560035919604,0.8247771836007131,0.08667676945061897
7.1000000000000005,0.001984342838741683,0.7629552993446183,0.08408438115568088,0.9202205882352941,0.05729871116384786,0.818716577540107,0.0747745337176259
7.2,0,0.7551011050353156,0.08945410889394,0.9202205882352941,0.06442979013308688,0.8124777183600713,0.08261967454398204
7.300000000000001,0,0.7701682536963194,0.05337722649525048,0.9316176470588236,0.054783661062543176,0.8304812834224599,0.04585915401090181
7.4,0,0.7783946394163113,0.08879469462676115,0.9202205882352941,0.04914353208187734,0.8275401069518716,0.0861702714702157
7.5,0,0.7598915738544222,0.06792674379704482,0.9139705882352941,0.05859842549909258,0.8157754010695187,0.06702892743192071
7.6000000000000005,0,0.7450287512550267,0.07141780191030543,0.9264705882352942,0.05518789337842011,0.8069518716577541,0.07019366526854852
7.7,0,0.7592983052304629,0.0938356006912399,0.9139705882352941,0.05065293590125994,0.8098930481283423,0.08619054962381417
7.800000000000001,0,0.7982319791865155,0.06341764282172077,0.9441176470588235,0.04607582387282295,0.8540106951871658,0.04566821882417908
7.9,0,0.8000001172717891,0.08474140471304588,0.9202205882352941,0.04914353208187734,0.8451871657754011,0.07595136748154598
8,0,0.767466393255867,0.08420226981148125,0.9202205882352941,0.05729871116384786,0.8218360071301247,0.07280602893451324
8.100000000000001,0,0.7696309382836843,0.11393739103195295,0.9264705882352942,0.05518789337842011,0.8188948306595365,0.09501892655719361
8.2,0,0.7812203804966963,0.07472314641004082,0.9378676470588235,0.05893703305919664,0.8389483065953653,0.06253138456325688
8.3,0,0.798935691501481,0.09220268032612945,0.9264705882352942,0.05518789337842011,0.8453654188948306,0.07573164889027287
8.4,0,0.8116868206612788,0.093089391119811,0.9264705882352942,0.05518789337842011,0.854367201426025,0.07652806838333659
8.5,0,0.8237316385884498,0.09372263065803244,0.9202205882352941,0.04914353208187734,0.8602495543672014,0.07863793717182338
8.600000000000001,0,0.8090796239364351,0.1137709626793958,0.9202205882352941,0.04914353208187734,0.8455436720142603,0.09770649712602217
8.7,0,0.8105664416796466,0.06395802547949762,0.9378676470588235,0.051044277938523945,0.8602495543672014,0.03962720041458031
8.8,0,0.8219635005031761,0.07561659234828111,0.9441176470588235,0.04607582387282295,0.8690730837789661,0.04696339210614486
8.9,0,0.775377481135995,0.07495973269207219,0.9139705882352941,0.06558834520346019,0.8273618538324421,0.07530716712406554
9,0,0.8124341435138649,0.09627582677586032,0.9264705882352942,0.05518789337842011,0.8544563279857398,0.08012918877728768
9.1,0,0.7846733507216075,0.08964761679948884,0.9503676470588235,0.039416230480576936,0.842602495543672,0.06369650188930959
9.200000000000001,0,0.8101785044161205,0.09848259419141783,0.9327205882352941,0.052167607713044656,0.8544563279857398,0.08012918877728768
9.3,0,0.8063735374532588,0.10384266647426171,0.9264705882352942,0.05518789337842011,0.8485739750445632,0.08692208339945097
9.4,0,0.8124341435138649,0.09627582677586032,0.9264705882352942,0.05518789337842011,0.8544563279857398,0.08012918877728768
9.5,0,0.8224898162926497,0.08097378865208962,0.9441176470588235,0.04607582387282295,0.8690730837789661,0.054970932669922694
9.6,0,0.8224898162926497,0.08097378865208962,0.9441176470588235,0.04607582387282295,0.8690730837789661,0.054970932669922694
9.700000000000001,0,0.8122352556583274,0.0924213496379841,0.9503676470588235,0.04921071815015015,0.8632798573975045,0.06973320355970708
9.8,0,0.8015909287576066,0.10561684775846562,0.9264705882352942,0.05518789337842011,0.845632798573975,0.08725485644158971
9.9,0,0.8094184924982138,0.10490513704236587,0.9441176470588235,0.04607582387282295,0.8544563279857398,0.08365039248472775
10,0,0.8474395547692761,0.07324388879232097,0.9441176470588235,0.04607582387282295,0.8868092691622103,0.04859373150257604
