max_depth,eta,cutoff,precision,precision_std,recall,recall_std,accuracy,accuracy_std
3,0.01,0.5,0.8460526315789474,0.004558028440970744,0.9705882352941176,0.03396178054056623,0.8970588235294117,0.016980890270283114
3,0.01,0.5,0.9083204334365325,0.07024525166226715,0.9852941176470589,0.027230002934486807,0.9409536541889483,0.04956579295340067
3,0.01,0.5,0.9247190689141154,0.06713702045592941,0.9901960784313726,0.022897027769456565,0.9532828282828283,0.04594905515237157
3,0.01,0.5,0.9195809683522531,0.06013936933761961,0.9613970588235294,0.05512254357056268,0.9384469696969697,0.0481024431866819
3,0.01,0.5,0.9162602026456516,0.06621307633993993,0.9691176470588235,0.05147611646561298,0.9389928698752228,0.049652605174609434
3,0.01,0.5,0.9046965397004096,0.06767605399639526,0.9638480392156863,0.04830981211869369,0.9302213309566251,0.05047611692551364
3,0.01,0.5,0.9007674600940855,0.06370538940289419,0.9690126050420168,0.04641172151156721,0.9307359307359307,0.04686211461900684
3,0.01,0.5,0.9041845994777497,0.0607061338143816,0.9728860294117647,0.044547929386370075,0.9347983511586453,0.04530864737494051
3,0.01,0.5,0.9039375089039692,0.057646794494906076,0.9758986928104575,0.04280653719371929,0.9363240245593186,0.043080734808839324
3,0.01,0.5,0.9120731697782781,0.06049656480677747,0.9736213235294118,0.04435962657680647,0.9396613190730838,0.042608624286911756
5,0.01,0.5,0.8293650793650793,0.03968253968253965,0.9852941176470589,0.02941176470588236,0.8897058823529411,0.01470588235294118
5,0.01,0.5,0.9146825396825397,0.09483569562077979,0.9848345588235294,0.02809812592591702,0.9410650623885918,0.056618544605822295
5,0.01,0.5,0.9333177715530656,0.08243531710291271,0.9898897058823529,0.023625565980161873,0.9558080808080808,0.05091992578986773
5,0.01,0.5,0.9223841619981326,0.07440501020628275,0.9611672794117647,0.055220029337136656,0.9384469696969697,0.053961421462407996
5,0.01,0.5,0.9351295518207283,0.07194734730860824,0.9689338235294118,0.0515875909203908,0.9492869875222816,0.05317636640524698
5,0.01,0.5,0.9191138078038232,0.0760858590275413,0.9532781862745098,0.06447149304158997,0.9337492572786691,0.06021195371215178
5,0.01,0.5,0.9114542746923331,0.07333165137597479,0.959952731092437,0.0617898207779213,0.9327094474153298,0.05592081695941347
5,0.01,0.5,0.9151695491793208,0.0691620982294034,0.9649586397058824,0.059214959915621236,0.9374442959001783,0.05371805990933314
5,0.01,0.5,0.9166067742886628,0.06566814004383278,0.9688521241830066,0.05683676163683057,0.940309962368786,0.051399940650749085
5,0.01,0.5,0.9249460968597966,0.06717115718187353,0.9641544117647058,0.05637306134595706,0.9424910873440285,0.049320958750955324
7,0.01,0.5,0.8176691729323309,0.016290726817042578,0.9852941176470589,0.02941176470588236,0.8823529411764706,0
7,0.01,0.5,0.9088345864661654,0.09804169983011098,0.9770220588235294,0.03173286121623542,0.9336007130124777,0.055970587417206334
7,0.01,0.5,0.9250618376005373,0.08644043338229414,0.9846813725490196,0.027727215787632965,0.9483808674985146,0.05183076527902281
7,0.01,0.5,0.9198380448670697,0.07611571718524014,0.9572610294117647,0.05449574533935903,0.9347704991087344,0.051225388431201696
7,0.01,0.5,0.9306072779989188,0.0741592865770348,0.9628676470588236,0.05112249609153517,0.9434046345811051,0.05010691866341335
7,0.01,0.5,0.9137005094435435,0.0801873558576376,0.9482230392156863,0.06290691093279949,0.9275846702317291,0.05881897896673538
7,0.01,0.5,0.908485148445343,0.07554772982639422,0.9556197478991597,0.060921602773703724,0.928475935828877,0.0545536443615624
7,0.01,0.5,0.9125715637132046,0.07135597606231288,0.9611672794117647,0.05877857553505275,0.9337399732620321,0.05284235936355715
