"County","pct_hispanic","pct_black","pct_white","pct_poverty","pct_uninsured","pct_college","median_income","pct_foreign_born"
"Gonzales",51.1,6.5,53.8,14.9,18,11.9,NA,1
"Gray",31.4,4.6,77.1,12.5,17.7,16.2,NA,0.4
"Grayson",16.3,5.2,76.3,8.2,15.7,23.9,NA,0.9
"Gregg",20.2,18,57.6,12.1,16.5,22.9,NA,1.1
"Grimes",25.5,11.4,61.2,10,18.3,19.7,NA,0.8
"Guadalupe",39,7.9,55.1,7.1,11,31.4,NA,2.9
"Hale",61.3,4.6,52.6,15.9,21,15.3,NA,0.7
"Hall",35.5,4.1,60.2,12.6,15.6,21.4,NA,0
"Hamilton",14.2,2,84.2,14.2,13.5,26.8,NA,0.3
"Hansford",50.2,0.1,64.9,8.2,21.3,36.4,NA,1.2
"Hardeman",25.6,3.4,73.6,5.1,15.6,16.8,NA,0.7
"Hardin",6.8,5.7,83.9,10,15.9,21,NA,0.7
"Harris",44,19,34.4,13.1,20.9,34.2,NA,1.8
"Harrison",14.8,20.3,62.4,11.3,14.1,22.7,NA,0.7
"Hartley",31.2,6,69.6,10,16.5,20.7,NA,0.6
"Haskell",26.4,5.9,76.6,12.2,16.2,22.8,NA,1.2
"Hays",39.4,4.1,60.5,6.1,11.6,43.2,NA,1.8
"Hemphill",32.6,3.6,78.9,1.6,18.4,21.9,NA,0.9
"Henderson",14.8,5.1,77.6,10.8,16.7,20.7,NA,0.7
"Hidalgo",91.9,0.7,27.8,23.3,28.2,20.6,NA,1.2
"Hill",23.1,5.6,75,10.8,18.6,18,NA,1.1
"Hockley",50.2,3.4,57.2,11,19.1,18.9,NA,0.8
"Hood",13.8,1.1,84.6,6.1,14.2,32.9,NA,1
"Hopkins",18.7,7,79.7,8.9,18.7,21.9,NA,0.5
"Houston",14.5,20.9,61.3,9.2,11.5,14.8,NA,0.4
"Howard",47.7,5.1,64.1,10.6,13.6,15.7,NA,0.7
"Hudspeth",66.7,1.5,32.1,13.7,31.4,9.6,NA,1.3
"Hunt",21.5,8,70.3,9,17,22.6,NA,1.6
"Hutchinson",24.8,2.2,70.4,9.1,13.1,16.8,NA,0.8
"Irion",27.5,0.1,72.5,8.1,14.8,28.3,NA,0
"Jack",18.7,2.9,85.5,8.1,18,14.5,NA,0.1
"Jackson",33.4,6.6,67.4,11.4,16.8,16.6,NA,1
