"County","cve","outbreak","enrollment","PHR"
"Randall",3.67,1,11565,1
"Reagan",0.7,0,855,9
"Real",3.77,0,518,8
"Red River",1.75,0,1976,4
"Reeves",1.88,2,3065,9
"Refugio",3.31,0,1197,11
"Roberts",1.14,0,177,1
"Robertson",1.38,0,3408,7
"Rockwall",5.35,1,29269,3
"Runnels",1.88,0,1960,2
"Rusk",2.83,0,7717,4
"Sabine",5.11,0,1426,5
"San Augustine",3.48,0,974,5
"San Jacinto",2.64,0,3553,5
"San Patricio",1.55,0,13848,11
"San Saba",4.64,0,981,7
"Schleicher",0.76,0,415,9
"Scurry",1.24,0,2859,2
"Shackelford",3.79,0,589,2
"Shelby",2.74,0,5174,5
"Sherman",2.81,0,669,1
"Smith",4.48,0,40442,4
"Somervell",6.48,0,2180,3
"Starr",0.06,0,15488,11
"Stephens",5.5,0,1374,2
"Sterling",5.03,0,355,9
"Stonewall",0.57,0,181,2
"Sutton",2.27,0,643,9
"Swisher",1.69,0,1316,1
"Tarrant",3.3,0,336474,3
"Taylor",2.61,0,39617,2
"Terrell",0,0,114,9
"Terry",3.18,60,2086,1
"Throckmorton",6.95,0,322,2
"Titus",1.51,0,6972,4
"Tom Green",2.21,0,20905,9
"Travis",3.01,0,193926,7
"Trinity",2.08,0,2257,5
"Tyler",3.08,0,3382,5
"Upshur",5,5,7416,4
"Upton",1.07,0,785,9
"Uvalde",2.01,0,5085,8
"Val Verde",0.53,0,9943,8
"Van Zandt",4.71,0,10738,4
"Victoria",1.43,0,13870,8
"Walker",2.73,0,12513,6
"Waller",2.06,0,14374,6
"Ward",2.68,0,2338,9
"Washington",2.75,0,5495,7
"Webb",0.33,0,61575,11
"Wharton",1.04,0,7729,6
"Wheeler",3.75,0,985,1
"Wichita",2.09,0,19355,2
"Wilbarger",1.49,0,2110,2
"Willacy",0.27,0,3889,11
"Williamson",3.95,0,136040,7
"Wilson",2.88,0,9448,8
"Winkler",0.89,0,1777,9
"Wise",5.92,0,10549,3
"Wood",4.34,0,6349,4
"Yoakum",2.35,1,1897,1
"Young",3.47,0,3066,2
"Zapata",0.06,0,3290,11
"Zavala",0.15,0,2082,8
