Sheet,1,2,3,4,5,6,7,8,9,10,11
Chest CT or CAT Scan - No,61.0,54.4,60.9,46.8,57.0,64.5,61.4,55.6,60.4,60.9,62.3
Chest CT or CAT Scan - Yes,39.0,45.6,39.1,53.2,43.0,35.5,38.6,44.4,39.6,39.1,37.7
ClnscpySgmscpy - Both,12.1,11.1,13.4,16.6,24.2,12.2,13.7,14.4,R,12.5,20.8
ClnscpySgmscpy - Colonoscopy,87.6,88.6,86.0,83.3,75.5,87.8,86.3,84.6,82.0,86.3,77.9
ClnscpySgmscpy - Sigmoidoscopy,R,R,R,R,R,R,0.0,R,R,R,R
Cog Decline Discuss - No,59.3,40.4,56.8,N,43.1,59.1,55.7,53.1,N,N,59.6
Cog Decline Discuss - Yes,40.7,59.6,43.2,N,56.9,40.9,44.3,46.9,N,N,40.4
Cog Decline Worry - No,35.5,R,37.3,N,32.7,41.6,35.4,37.3,N,N,R
Cog Decline Worry - Yes,64.5,73.5,62.7,N,67.3,58.4,64.6,62.7,N,N,78.3
Col Past 10 Yrs 50-75 - No,40.4,37.0,37.4,39.5,49.5,41.8,30.9,35.7,42.2,35.7,49.0
Col Past 10 Yrs 50-75 - Yes,59.6,63.0,62.6,60.5,50.5,58.2,69.1,64.3,57.8,64.3,51.0
Col Past 10 Yrs 50-75 IA - No,40.7,37.3,37.4,38.6,48.9,42.1,30.6,35.7,42.2,38.3,49.0
Col Past 10 Yrs 50-75 IA - Yes,59.3,62.7,62.6,61.4,51.1,57.9,69.4,64.3,57.8,61.7,51.0
Coronary Heart Disease - No,94.9,92.4,96.1,93.0,94.7,97.1,96.0,96.5,98.1,96.9,95.6
Coronary Heart Disease - Yes,5.1,7.6,3.9,7.0,R,2.9,4.0,3.5,R,3.1,4.4
Current Asthma - No,29.4,33.3,38.7,N,R,51.8,32.2,33.9,51.3,33.8,47.6
Current Asthma - Yes,70.6,66.7,61.3,N,66.8,48.2,67.8,66.1,48.7,66.2,52.4
Current Asthma 2 - No,86.3,90.7,90.8,89.6,91.2,93.2,89.4,88.4,93.2,92.1,95.0
Current Asthma 2 - Yes,13.7,9.3,9.2,10.4,R,6.8,10.6,11.6,6.8,7.9,5.0
Current E-cig User - No,89.8,90.5,93.0,91.0,91.1,94.0,90.4,91.2,87.9,89.1,91.3
Current E-cig User - Yes,10.2,9.5,7.0,9.0,8.9,6.0,9.6,8.8,12.1,10.9,8.7
Current Smoker - No,86.4,88.7,92.7,82.7,84.4,88.8,90.5,92.4,80.0,87.5,89.7
Current Smoker - Yes,13.6,11.3,7.3,17.3,15.6,11.2,9.5,7.6,20.0,12.5,10.3
Deaf - No,91.8,90.3,93.7,91.1,91.6,95.2,94.1,92.9,90.8,92.5,90.8
Deaf - Yes,8.2,9.7,6.3,8.9,8.4,4.8,5.9,7.1,R,7.5,9.2
Dentist Visit Past Year - No,46.7,46.8,37.8,55.2,53.4,41.6,36.4,38.3,52.3,49.7,43.3
Dentist Visit Past Year - Yes,53.3,53.2,62.2,44.8,46.6,58.4,63.6,61.7,47.7,50.3,56.7
Depressive Disorder - No,83.1,75.3,78.1,75.1,72.7,82.4,74.6,72.6,82.9,76.9,80.8
Depressive Disorder - Yes,16.9,24.7,21.9,24.9,27.3,17.6,25.4,27.4,17.1,23.1,19.2
Diabetes - No,80.4,81.8,85.0,79.2,80.4,84.2,85.3,81.5,85.5,78.1,79.4
"Diabetes - No, borderline
or pre-diabetes",R,R,1.8,R,R,3.5,2.5,2.0,R,R,R
Diabetes - Yes,16.0,15.5,12.3,19.9,17.4,11.8,11.6,14.9,11.3,18.0,18.0
"Diabetes - Yes, but during pregnancy",R,R,0.9,R,R,R,R,1.6,R,R,R
Diabetes Affected Feet - No,84.3,90.1,92.9,N,84.2,89.6,91.0,94.4,79.8,89.2,94.7
Diabetes Affected Feet - Yes,R,R,R,N,R,R,R,R,R,R,R
Diabetes Age - 40 years or younger,N,N,N,N,N,N,N,N,N,N,N
Diabetes Age - 41 to 64,N,N,N,N,N,N,N,N,N,N,N
Diabetes Age - 65 years or older,N,N,N,N,N,N,N,N,N,N,N
Diabetes Education - No,R,R,R,N,R,R,R,R,R,R,R
Diabetes Education - Yes,R,R,11.4,N,R,R,R,12.0,R,R,R
Diabetes Eye Exam - 2 or more years,17.8,13.2,11.9,N,R,R,11.3,9.5,57.6,R,R
Diabetes Eye Exam - Never,0.0,0.0,0.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diabetes Eye Exam - Within the past 2 years,R,R,15.4,N,R,R,13.0,22.0,R,R,R
