Sheet,1,2,3,4,5,6,7,8,9,10,11
Mammogram Past 2 Yrs 40+ - Yes,57.3,62.6,73.7,69.8,66.4,75.2,69.9,65.2,62.4,66.8,77.8
Mammogram Past 2 Yrs 40+ IA - No,42.9,36.9,26.4,30.2,33.2,25.4,29.7,34.5,37.6,37.6,22.2
Mammogram Past 2 Yrs 40+ IA - Yes,57.1,63.1,73.6,69.8,66.8,74.6,70.3,65.5,62.4,62.4,77.8
Mammogram Past 2 Yrs 50+ - No,36.1,33.2,22.3,29.0,24.3,18.9,28.6,29.3,35.3,26.8,23.7
Mammogram Past 2 Yrs 50+ - Yes,63.9,66.8,77.7,71.0,75.7,81.1,71.4,70.7,64.7,73.2,76.3
Mammogram Past 2 Yrs 50+ IA - No,36.3,32.7,22.8,29.0,24.0,19.0,28.3,28.8,35.3,32.9,23.7
Mammogram Past 2 Yrs 50+ IA - Yes,63.7,67.3,77.2,71.0,76.0,81.0,71.7,71.2,64.7,67.1,76.3
Mammogram Past 2 Yrs 50-74 - No,38.5,31.8,20.5,27.7,R,15.6,27.0,26.3,43.0,17.3,22.0
Mammogram Past 2 Yrs 50-74 - Yes,61.5,68.2,79.5,72.3,78.8,84.4,73.0,73.7,57.0,82.7,78.0
Mammogram Past 2 Yrs 50-74 I - No,38.8,31.2,21.2,27.7,R,15.7,26.8,25.7,43.0,R,22.0
Mammogram Past 2 Yrs 50-74 I - Yes,61.2,68.8,78.8,72.3,79.3,84.3,73.2,74.3,57.0,73.9,78.0
Medical Cost - No,80.0,79.1,83.4,78.4,81.9,82.7,87.0,81.4,83.2,80.1,83.1
Medical Cost - Yes,20.0,20.9,16.6,21.6,18.1,17.3,13.0,18.6,16.8,19.9,16.9
Memory Loss - No,90.5,82.9,84.6,81.5,75.9,87.8,81.4,83.6,81.5,83.4,84.9
Memory Loss - Yes,9.5,17.1,15.4,18.5,24.1,12.2,18.6,16.4,R,16.6,15.1
Menthol Cig - No,63.3,84.9,72.0,N,52.7,48.2,70.3,69.4,70.0,N,48.1
Menthol Cig - Yes,36.7,R,28.0,N,47.3,51.8,29.7,30.6,30.0,N,51.9
Menthol E-Cig - No,74.0,77.8,75.4,N,N,76.3,75.9,71.0,N,N,N
Menthol E-Cig - Yes,R,R,24.6,N,N,R,24.1,29.0,N,N,N
Obese - No,53.2,55.5,66.0,61.5,61.2,63.2,68.5,63.6,60.2,63.7,59.7
Obese - Yes,46.8,44.5,34.0,38.5,38.8,36.8,31.5,36.4,39.8,36.3,40.3
Other Cancer - No,95.8,89.9,91.8,91.9,88.7,92.5,93.2,94.2,96.3,94.9,95.0
Other Cancer - Yes,4.2,10.1,8.2,8.1,11.3,7.5,6.8,5.8,R,5.1,5.0
OtherStoolTest - No,59.9,67.3,74.1,N,78.6,71.5,66.4,76.7,93.8,65.3,62.9
OtherStoolTest - Yes,40.1,32.7,25.9,N,21.4,28.5,33.6,23.3,R,34.7,37.1
Overweight or Obese - No,21.7,30.0,29.8,25.4,23.8,32.5,34.1,28.7,21.7,24.8,27.0
Overweight or Obese - Yes,78.3,70.0,70.2,74.6,76.2,67.5,65.9,71.3,78.3,75.2,73.0
Pain Med Not Rx - No,93.1,98.5,97.1,99.2,90.7,96.5,96.5,96.1,94.1,92.1,94.5
Pain Med Not Rx - Yes,R,R,2.9,R,R,3.5,3.5,3.9,R,7.9,5.5
Pap - HPV Test Past 5 Yrs 21 - No,65.6,46.5,61.0,N,62.7,57.8,60.3,62.5,57.7,66.8,62.2
Pap - HPV Test Past 5 Yrs 21 - Yes,34.4,53.5,39.0,N,37.3,42.2,39.7,37.5,42.3,33.2,37.8
Pap - HPV Test Past 5 Yrs 21 2 - No,65.7,46.3,61.2,N,63.2,58.0,60.7,62.4,57.7,69.5,62.2
Pap - HPV Test Past 5 Yrs 21 2 - Yes,34.3,53.7,38.8,N,36.8,42.0,39.3,37.6,42.3,30.5,37.8
Pap Test Past 3 Yrs 21-65 - No,37.2,28.4,35.2,N,47.5,37.6,30.7,30.6,33.5,44.9,35.6
Pap Test Past 3 Yrs 21-65 - Yes,62.8,71.6,64.8,N,52.5,62.4,69.3,69.4,66.5,55.1,64.4
Pap Test Past 3 Yrs 21-65 IA - No,37.4,28.3,35.4,N,47.3,37.6,31.0,30.5,33.5,49.0,35.6
Pap Test Past 3 Yrs 21-65 IA - Yes,62.6,71.7,64.6,N,52.7,62.4,69.0,69.5,66.5,51.0,64.4
Pap Test Past 5 Yrs 21-65 - No,R,20.8,27.9,N,30.1,33.8,24.8,23.3,28.4,37.5,34.8
Pap Test Past 5 Yrs 21-65 - Yes,73.3,79.2,72.1,N,69.9,66.2,75.2,76.7,71.6,62.5,65.2
Pap Test Past 5 Yrs 21-65 IA - No,R,20.8,28.1,N,30.1,33.8,25.2,23.2,28.4,42.1,34.8
Pap Test Past 5 Yrs 21-65 IA - Yes,73.2,79.2,71.9,N,69.9,66.2,74.8,76.8,71.6,57.9,65.2
"Pneumonia Shot, 18+ - No",67.5,61.5,66.5,61.1,70.7,69.6,64.6,68.4,74.8,67.4,74.8
"Pneumonia Shot, 18+ - Yes",32.5,38.5,33.5,38.9,29.3,30.4,35.4,31.6,25.2,32.6,25.2
"Pneumonia Shot, 65+ - No",27.3,26.3,26.8,32.1,30.6,30.4,25.0,34.4,61.5,39.5,34.0
"Pneumonia Shot, 65+ - Yes",72.7,73.7,73.2,67.9,69.4,69.6,75.0,65.6,38.5,60.5,66.0
Poor Mental Health 14+ Days - 14 or more days,11.2,17.3,16.0,16.0,23.3,13.3,16.3,18.2,12.0,16.4,17.5
Poor Mental Health 14+ Days - None to less than 14 days,88.8,82.7,84.0,84.0,76.7,86.7,83.7,81.8,88.0,83.6,82.5
Poor Mental Health 5+ Days - 5 or more days,31.4,29.8,30.6,29.3,33.3,28.4,31.8,34.6,21.8,27.2,33.7
Poor Mental Health 5+ Days - None to less than 5 days,68.6,70.2,69.4,70.7,66.7,71.6,68.2,65.4,78.2,72.8,66.3
Poor Physical Health 14+ Day - 14 or more days,13.1,17.7,12.1,11.3,13.8,11.0,11.8,14.8,15.2,14.0,11.8
Poor Physical Health 14+ Day - None to less than 14 days,86.9,82.3,87.9,88.7,86.2,89.0,88.2,85.2,84.8,86.0,88.2
Poor Physical Health 5+ Days - 5 or more days,27.6,25.1,21.2,21.8,23.5,20.8,22.1,25.2,21.6,25.2,22.8
Poor Physical Health 5+ Days - None to less than 5 days,72.4,74.9,78.8,78.2,76.5,79.2,77.9,74.8,78.4,74.8,77.2
Pre-Diabetes - No,84.6,86.9,83.7,84.8,84.1,80.9,82.6,79.1,86.5,79.1,80.0
Pre-Diabetes - Yes,11.6,12.7,15.4,14.7,12.6,18.3,16.0,19.3,12.8,19.1,19.0
"Pre-Diabetes - Yes, during pregnancy",R,R,R,R,R,R,R,R,R,R,R
Pre-Diabetes 2 - No,88.7,89.4,86.6,89.0,90.0,84.0,85.9,83.8,88.4,84.6,84.8
Pre-Diabetes 2 - Yes,11.3,10.6,13.4,11.0,10.0,16.0,14.1,16.2,11.6,15.4,15.2
Provided Care Past 30 Days - No,78.3,70.2,82.0,76.0,78.2,76.5,80.4,78.2,80.6,76.8,79.9
Provided Care Past 30 Days - Yes,21.7,29.7,17.9,23.8,21.0,23.5,19.5,21.7,18.7,23.2,19.8
Quit Smoking in Past Yr - No,51.1,43.1,39.6,N,50.0,49.1,55.5,44.0,R,N,36.9
Quit Smoking in Past Yr - Yes,48.9,56.9,60.4,N,50.0,50.9,44.5,56.0,73.0,N,63.1
Reg BP Check - No,31.9,25.5,27.6,35.7,26.2,35.1,32.5,33.0,25.5,27.1,21.5
Reg BP Check - Yes,68.1,74.5,72.4,64.3,73.8,64.9,67.5,67.0,74.5,72.9,78.5
RemoveTeeth - 1 to 5,28.0,27.6,27.7,23.9,30.5,29.6,24.7,31.1,28.7,30.7,27.5
"RemoveTeeth - 6 or More, but not all",12.2,11.9,6.3,14.2,11.4,5.6,8.1,4.8,4.3,7.4,7.2
RemoveTeeth - All,4.1,10.8,3.3,9.7,R,2.8,3.2,R,R,3.3,R
RemoveTeeth - None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Routine Checkup - 5 or more years,4.3,3.7,4.9,9.4,R,6.6,5.5,6.6,12.3,5.1,3.5
Routine Checkup - Never,R,R,0.8,R,R,R,R,R,R,R,R
Routine Checkup - Within the past 2 years,14.3,9.8,10.3,10.9,8.7,13.0,10.5,9.4,7.0,10.5,12.1
Routine Checkup - Within the past 5 years,R,6.7,7.2,R,R,7.7,6.6,6.1,2.9,10.7,8.9
Routine Checkup - Within the past year,73.7,79.3,76.8,73.1,77.2,72.2,77.0,76.9,76.6,73.1,73.8
Routine Checkup in the Past  - No,26.3,20.7,23.2,26.9,22.8,27.8,23.0,23.1,23.4,26.9,26.2
Routine Checkup in the Past  - Yes,73.7,79.3,76.8,73.1,77.2,72.2,77.0,76.9,76.6,73.1,73.8
Rx Opioid - No,80.8,82.6,87.7,82.4,85.6,90.5,87.9,87.9,88.9,89.7,93.0
Rx Opioid - Yes,19.2,17.4,12.3,17.6,14.4,9.5,12.1,12.1,R,10.3,7.0
Rx Pain Med - No,75.1,77.0,80.9,78.9,79.1,83.1,80.3,80.1,86.8,80.2,86.0
Rx Pain Med - Yes,24.9,23.0,19.1,21.1,20.9,16.9,19.7,19.9,R,19.8,14.0
RxPainRiskEd Source - No,40.5,52.8,43.1,46.8,39.9,48.8,41.4,48.4,56.8,53.3,52.9
RxPainRiskEd Source - Yes,59.5,47.2,56.9,53.2,60.1,51.2,58.6,51.6,R,46.7,47.1
Served on Active Duty - No,92.8,86.2,89.9,87.1,86.4,92.0,85.2,83.1,85.4,86.4,92.3
Served on Active Duty - Yes,7.2,13.8,10.1,12.9,13.6,8.0,14.8,16.9,14.6,13.6,7.7
SexualOrientation - Bisexual,3.5,2.3,4.7,R,R,3.4,6.8,5.7,R,R,R
SexualOrientation - Lesbian or Gay,R,R,3.0,R,R,R,2.5,2.7,R,R,R
SexualOrientation - Something Else,R,R,2.1,R,R,R,3.0,2.3,R,R,R
SexualOrientation - Straight,93.2,94.8,90.2,95.3,92.5,91.0,87.6,89.3,94.8,91.3,91.9
Sigm Past 10 Yrs 50-75 IA - No,84.0,85.8,87.2,77.2,84.1,85.5,78.0,77.3,86.5,83.3,83.0
Sigm Past 10 Yrs 50-75 IA - Yes,R,R,12.8,R,R,14.5,22.0,22.7,R,16.7,R
Sigm Past 10 Yrs Age 50-75 - No,83.9,85.7,87.2,77.4,84.1,85.3,77.8,76.8,86.5,82.3,82.8
Sigm Past 10 Yrs Age 50-75 - Yes,R,R,12.8,R,R,14.7,22.2,23.2,R,17.7,R
Sigm Past 5 Yrs 50-75 IA - No,90.1,87.5,88.4,80.8,85.4,89.2,80.6,80.8,89.2,86.6,84.7
Sigm Past 5 Yrs 50-75 IA - Yes,9.9,R,11.6,R,R,10.8,19.4,19.2,R,R,R
Sigm Past 5 Yrs Age 50-75 - No,90.0,87.4,88.5,81.0,85.4,89.1,80.4,80.4,89.2,84.9,84.6
Sigm Past 5 Yrs Age 50-75 - Yes,10.0,R,11.5,R,R,10.9,19.6,19.6,R,R,R
Sigm and Blood Stool 50-75 I - No,99.7,99.8,98.7,N,97.4,98.0,97.3,96.9,98.2,99.4,91.7
Sigm and Blood Stool 50-75 I - Yes,R,R,R,N,R,R,R,R,R,R,R
Sigm and Blood Stool Age 50- - No,99.7,99.8,98.7,N,97.4,98.0,97.3,96.8,98.2,99.3,91.6
Sigm and Blood Stool Age 50- - Yes,R,R,R,N,R,R,R,R,R,R,R
Skin Cancer - No,97.4,95.4,95.7,93.1,91.8,96.4,94.0,96.5,96.8,98.7,97.4
Skin Cancer - Yes,2.6,4.6,4.3,6.9,8.2,3.6,6.0,3.5,R,R,2.6
Smokeless Tobacco Use - Every day,3.6,3.1,1.3,R,R,R,2.2,R,R,R,R
Smokeless Tobacco Use - Not at all,91.9,96.0,98.0,93.5,94.8,97.9,96.5,96.6,86.2,97.6,95.3
Smokeless Tobacco Use - Some days,R,R,0.7,R,R,R,1.2,1.4,2.4,R,R
Smoker Status - Current smoker - every day,9.9,6.9,4.6,10.5,8.4,7.6,6.9,4.9,15.3,R,3.9
Smoker Status - Current smoker - some days,3.7,R,2.6,R,R,3.6,2.6,2.8,4.7,R,6.4
Smoker Status - Former smoker,27.0,25.7,22.0,27.6,22.0,21.3,24.0,23.5,30.2,20.5,19.9
Smoker Status - Never smoked,59.4,63.0,70.7,55.1,62.5,67.5,66.5,68.8,49.8,67.0,69.8
Stool DNA Past 3 Yrs 50-75 I - No,92.6,94.5,94.6,87.4,95.5,94.7,94.9,95.1,98.8,92.1,90.9
Stool DNA Past 3 Yrs 50-75 I - Yes,R,R,5.4,R,4.5,5.3,5.1,4.9,R,7.9,R
Stool DNA Past 3 Yrs Age 50- - No,92.5,94.8,94.5,87.4,95.4,94.6,94.8,95.1,98.8,91.7,90.8
Stool DNA Past 3 Yrs Age 50- - Yes,R,R,5.5,R,4.6,5.4,5.2,4.9,R,8.3,R
Stroke - No,94.9,93.7,95.9,93.1,91.0,98.2,97.4,97.0,96.6,97.7,97.8
Stroke - Yes,R,R,4.1,6.9,R,R,2.6,3.0,R,2.3,R
Suicidal Ideation - No,97.5,95.9,95.7,94.0,96.4,97.4,96.6,96.4,96.6,95.4,96.4
Suicidal Ideation - Yes,2.5,R,4.3,R,R,2.6,3.4,3.6,3.4,R,R
Suicide Attempt - No,99.7,100.0,99.2,97.0,99.5,99.7,98.8,99.4,99.3,99.1,100.0
Suicide Attempt - Yes,R,R,R,R,R,R,R,R,R,R,R
Teeth Removed - No,55.6,49.8,62.7,52.2,53.3,62.1,63.9,61.2,60.4,58.6,62.6
Teeth Removed - Yes,44.4,50.2,37.3,47.8,46.7,37.9,36.1,38.8,39.6,41.4,37.4
Transgender - No,R,R,R,0.0,R,R,R,0.0,R,R,R
Transgender - Yes,R,R,R,R,R,R,R,R,R,R,R
Up-To-Date CRC Scrn 50-75 IA - No,32.8,29.8,29.3,27.0,37.1,34.1,22.6,26.1,37.6,29.5,39.3
Up-To-Date CRC Scrn 50-75 IA - Yes,67.2,70.2,70.7,73.0,62.9,65.9,77.4,73.9,62.4,70.5,60.7
Up-To-Date CRC Scrn Age 50-7 - No,32.4,29.8,29.2,27.7,37.6,33.8,22.7,25.9,37.6,26.5,39.2
Up-To-Date CRC Scrn Age 50-7 - Yes,67.6,70.2,70.8,72.3,62.4,66.2,77.3,74.1,62.4,73.5,60.8
Up-To-Date Cervical Cancer S - No,39.9,29.5,34.3,N,36.9,39.2,29.7,28.4,34.0,45.0,38.3
Up-To-Date Cervical Cancer S - Yes,60.1,70.5,65.7,N,63.1,60.8,70.3,71.6,66.0,55.0,61.7
Up-To-Date Cervical Cancer S 2 - No,40.0,29.4,34.5,N,36.8,39.1,30.1,28.3,34.0,49.3,38.3
Up-To-Date Cervical Cancer S 2 - Yes,60.0,70.6,65.5,N,63.2,60.9,69.9,71.7,66.0,50.7,61.7
V Col 5 Yrs 50-75 IA - No,96.9,98.1,97.0,92.8,92.2,97.0,97.6,96.4,92.8,95.7,95.1
V Col 5 Yrs 50-75 IA - Yes,R,R,3.0,R,R,R,R,R,R,R,R
V Col 5 Yrs Age 50-75 - No,96.9,98.1,96.9,92.8,92.3,97.0,97.7,96.3,92.8,95.5,95.1
V Col 5 Yrs Age 50-75 - Yes,R,R,3.1,R,R,R,R,R,R,R,R
VirtualColonoscopy - No,76.0,86.1,81.7,72.4,65.5,74.3,79.9,80.6,72.2,80.3,80.6
VirtualColonoscopy - Yes,R,R,18.3,R,34.5,25.7,20.1,19.4,R,19.7,R
