PHR,group,level,n,answer,pct,low,high
,group,category,sample_size,response,pct,ci_low,ci_high
11,Age,18 to 29,89,NO,77.1,65.2,85.8
11,Age,30 to 44,138,NO,73.9,59.7,84.5
11,Age,45 to 64,170,NO,68.7,56.8,78.6
11,Age,65+,171,NO,44.0,32.1,56.6
11,Education,Less than high school,106,NO,66.5,51.5,78.8
11,Education,High school graduate,165,NO,71.3,59.6,80.8
11,Education,Some college,137,NO,72.6,60.2,82.3
11,Education,College graduate,155,NO,60.2,49.0,70.4
11,Income,"<$25,000",148,NO,69.3,57.4,79.0
11,Income,"$25,000 to <$50,000",144,NO,63.0,48.7,75.3
11,Income,"$50,000+",193,NO,75.1,65.8,82.5
11,Marital Status,Married,252,NO,68.0,58.8,76.0
11,Marital Status,Not married,314,NO,68.0,59.2,75.6
11,Employment Status,Employed,273,NO,73.3,64.8,80.4
11,Employment Status,Not employed,288,NO,62.1,52.5,70.9
11,Health Insurance,Health insurance,437,NO,61.9,54.5,68.7
11,Health Insurance,No health insurance,84,NO,85.0,68.8,93.5
11,Disability Status,Has disability,218,NO,58.6,47.5,69.0
11,Disability Status,No disability,347,NO,72.5,65.0,78.9
11,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,NO,,,
11,Sexual Orientation,Straight,436,NO,67.7,60.3,74.3
1,Total,Total,860,YES,33.6,26.6,41.5
1,Sex,Male,419,YES,29.8,21.7,39.3
1,Sex,Female,441,YES,36.9,26.2,49.2
1,Race/Ethnicity,"White, Non-Hispanic",574,YES,40.3,31.4,50.0
1,Race/Ethnicity,"Black, Non-Hispanic",N,YES,,,
1,Race/Ethnicity,Hispanic,181,YES,26.2,15.5,40.8
1,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,YES,,,
1,Age,18 to 29,117,YES,,,
1,Age,30 to 44,188,YES,,,
1,Age,45 to 64,247,YES,36.8,24.5,51.1
1,Age,65+,303,YES,53.1,40.8,65.0
1,Education,Less than high school,70,YES,,,
1,Education,High school graduate,210,YES,20.0,11.9,31.6
1,Education,Some college,246,YES,36.6,25.7,49.1
1,Education,College graduate,331,YES,49.1,35.3,63.0
1,Income,"<$25,000",118,YES,41.5,23.2,62.6
1,Income,"$25,000 to <$50,000",197,YES,24.2,13.9,38.6
1,Income,"$50,000+",421,YES,37.4,27.2,48.8
1,Marital Status,Married,443,YES,37.7,27.8,48.8
1,Marital Status,Not married,415,YES,28.8,20.0,39.5
1,Employment Status,Employed,452,YES,28.8,20.1,39.3
1,Employment Status,Not employed,398,YES,41.2,30.0,53.4
1,Health Insurance,Health insurance,741,YES,39.3,31.2,47.9
1,Health Insurance,No health insurance,79,YES,,,
1,Disability Status,Has disability,280,YES,44.2,30.8,58.5
1,Disability Status,No disability,575,YES,27.9,20.3,36.9
1,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,YES,,,
1,Sexual Orientation,Straight,747,YES,31.6,24.4,39.7
1,Total,Total,860,NO,66.4,58.5,73.4
1,Sex,Male,419,NO,70.2,60.7,78.3
1,Sex,Female,441,NO,63.1,50.8,73.8
1,Race/Ethnicity,"White, Non-Hispanic",574,NO,59.7,50.0,68.6
1,Race/Ethnicity,"Black, Non-Hispanic",N,NO,,,
1,Race/Ethnicity,Hispanic,181,NO,73.8,59.2,84.5
1,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,NO,,,
1,Age,18 to 29,117,NO,76.7,58.6,88.4
1,Age,30 to 44,188,NO,74.6,56.7,86.8
1,Age,45 to 64,247,NO,63.2,48.9,75.5
1,Age,65+,303,NO,46.9,35.0,59.2
1,Education,Less than high school,70,NO,65.9,38.7,85.5
1,Education,High school graduate,210,NO,80.0,68.4,88.1
1,Education,Some college,246,NO,63.4,50.9,74.3
1,Education,College graduate,331,NO,50.9,37.0,64.7
1,Income,"<$25,000",118,NO,58.5,37.4,76.8
1,Income,"$25,000 to <$50,000",197,NO,75.8,61.4,86.1
1,Income,"$50,000+",421,NO,62.6,51.2,72.8
1,Marital Status,Married,443,NO,62.3,51.2,72.2
1,Marital Status,Not married,415,NO,71.2,60.5,80.0
1,Employment Status,Employed,452,NO,71.2,60.7,79.9
1,Employment Status,Not employed,398,NO,58.8,46.6,70.0
1,Health Insurance,Health insurance,741,NO,60.7,52.1,68.8
1,Health Insurance,No health insurance,79,NO,94.3,87.9,97.4
1,Disability Status,Has disability,280,NO,55.8,41.5,69.2
1,Disability Status,No disability,575,NO,72.1,63.1,79.7
1,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,NO,,,
1,Sexual Orientation,Straight,747,NO,68.4,60.3,75.6
2,Total,Total,831,YES,37.4,29.3,46.2
2,Sex,Male,401,YES,38.2,26.2,51.9
2,Sex,Female,430,YES,36.6,26.5,48.0
2,Race/Ethnicity,"White, Non-Hispanic",629,YES,38.7,29.8,48.4
2,Race/Ethnicity,"Black, Non-Hispanic",N,YES,,,
2,Race/Ethnicity,Hispanic,95,YES,,,
2,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,YES,,,
2,Age,18 to 29,99,YES,,,
2,Age,30 to 44,158,YES,25.3,14.2,40.9
2,Age,45 to 64,250,YES,46.1,30.9,62.2
2,Age,65+,316,YES,49.1,34.8,63.5
2,Education,Less than high school,55,YES,,,
2,Education,High school graduate,212,YES,37.0,22.1,54.9
2,Education,Some college,263,YES,35.2,24.3,47.9
2,Education,College graduate,299,YES,42.4,29.0,56.9
2,Income,"<$25,000",128,YES,,,
2,Income,"$25,000 to <$50,000",181,YES,41.5,25.0,60.0
2,Income,"$50,000+",416,YES,34.7,26.1,44.4
2,Marital Status,Married,446,YES,42.8,31.2,55.2
2,Marital Status,Not married,383,YES,29.8,20.7,40.8
2,Employment Status,Employed,393,YES,26.4,19.3,35.0
2,Employment Status,Not employed,433,YES,47.4,34.7,60.4
2,Health Insurance,Health insurance,733,YES,40.3,31.3,50.0
2,Health Insurance,No health insurance,60,YES,,,
2,Disability Status,Has disability,306,YES,45.8,31.1,61.3
2,Disability Status,No disability,518,YES,31.6,23.9,40.4
2,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,YES,,,
2,Sexual Orientation,Straight,728,YES,38.2,29.4,48.0
2,Total,Total,831,NO,62.6,53.8,70.7
2,Sex,Male,401,NO,61.8,48.1,73.8
2,Sex,Female,430,NO,63.4,52.0,73.5
2,Race/Ethnicity,"White, Non-Hispanic",629,NO,61.3,51.6,70.2
2,Race/Ethnicity,"Black, Non-Hispanic",N,NO,,,
2,Race/Ethnicity,Hispanic,95,NO,62.0,35.3,83.0
2,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,NO,,,
2,Age,18 to 29,99,NO,79.0,52.6,92.7
2,Age,30 to 44,158,NO,74.7,59.1,85.8
2,Age,45 to 64,250,NO,53.9,37.8,69.1
2,Age,65+,316,NO,50.9,36.5,65.2
2,Education,Less than high school,55,NO,64.0,33.1,86.5
2,Education,High school graduate,212,NO,63.0,45.1,77.9
2,Education,Some college,263,NO,64.8,52.1,75.7
2,Education,College graduate,299,NO,57.6,43.1,71.0
2,Income,"<$25,000",128,NO,62.7,37.8,82.3
2,Income,"$25,000 to <$50,000",181,NO,58.5,40.0,75.0
2,Income,"$50,000+",416,NO,65.3,55.6,73.9
2,Marital Status,Married,446,NO,57.2,44.8,68.8
2,Marital Status,Not married,383,NO,70.2,59.2,79.3
2,Employment Status,Employed,393,NO,73.6,65.0,80.7
2,Employment Status,Not employed,433,NO,52.6,39.6,65.3
2,Health Insurance,Health insurance,733,NO,59.7,50.0,68.7
2,Health Insurance,No health insurance,60,NO,87.6,71.8,95.2
2,Disability Status,Has disability,306,NO,54.2,38.7,68.9
2,Disability Status,No disability,518,NO,68.4,59.6,76.1
2,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,NO,,,
2,Sexual Orientation,Straight,728,NO,61.8,52.0,70.6
3,Total,Total,"2,354",YES,38.5,35.8,41.3
3,Sex,Male,"1,202",YES,36.0,32.2,39.9
3,Sex,Female,"1,152",YES,41.1,37.2,45.0
3,Race/Ethnicity,"White, Non-Hispanic","1,426",YES,42.4,39.0,45.9
3,Race/Ethnicity,"Black, Non-Hispanic",246,YES,38.4,31.1,46.2
3,Race/Ethnicity,Hispanic,383,YES,30.7,25.0,37.2
3,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",247,YES,43.1,35.7,50.9
3,Age,18 to 29,423,YES,20.4,15.9,25.8
3,Age,30 to 44,592,YES,33.9,29.1,39.1
3,Age,45 to 64,683,YES,41.0,36.0,46.2
3,Age,65+,623,YES,63.5,57.5,69.1
3,Education,Less than high school,116,YES,33.4,23.2,45.5
3,Education,High school graduate,510,YES,29.0,23.9,34.7
3,Education,Some college,633,YES,38.1,33.1,43.2
3,Education,College graduate,"1,083",YES,47.4,43.6,51.3
3,Income,"<$25,000",227,YES,39.0,29.8,49.1
3,Income,"$25,000 to <$50,000",428,YES,37.2,30.9,43.9
3,Income,"$50,000+","1,304",YES,39.3,35.8,43.0
3,Marital Status,Married,"1,199",YES,43.7,39.9,47.7
3,Marital Status,Not married,"1,133",YES,32.9,29.2,36.8
3,Employment Status,Employed,"1,342",YES,34.4,31.1,37.8
3,Employment Status,Not employed,984,YES,46.0,41.5,50.7
3,Health Insurance,Health insurance,"2,007",YES,42.4,39.4,45.4
3,Health Insurance,No health insurance,245,YES,16.9,10.4,26.3
3,Disability Status,Has disability,685,YES,41.4,36.0,47.0
3,Disability Status,No disability,"1,647",YES,37.4,34.3,40.6
3,Sexual Orientation,"Gay, Lesbian, or Bisexual",145,YES,40.1,30.0,51.1
3,Sexual Orientation,Straight,"1,808",YES,40.2,37.1,43.3
3,Total,Total,"2,354",NO,61.5,58.7,64.2
3,Sex,Male,"1,202",NO,64.0,60.1,67.8
3,Sex,Female,"1,152",NO,58.9,55.0,62.8
3,Race/Ethnicity,"White, Non-Hispanic","1,426",NO,57.6,54.1,61.0
3,Race/Ethnicity,"Black, Non-Hispanic",246,NO,61.6,53.8,68.9
3,Race/Ethnicity,Hispanic,383,NO,69.3,62.8,75.0
3,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",247,NO,56.9,49.1,64.3
3,Age,18 to 29,423,NO,79.6,74.2,84.1
3,Age,30 to 44,592,NO,66.1,60.9,70.9
3,Age,45 to 64,683,NO,59.0,53.8,64.0
3,Age,65+,623,NO,36.5,30.9,42.5
3,Education,Less than high school,116,NO,66.6,54.5,76.8
3,Education,High school graduate,510,NO,71.0,65.3,76.1
3,Education,Some college,633,NO,61.9,56.8,66.9
3,Education,College graduate,"1,083",NO,52.6,48.7,56.4
3,Income,"<$25,000",227,NO,61.0,50.9,70.2
3,Income,"$25,000 to <$50,000",428,NO,62.8,56.1,69.1
3,Income,"$50,000+","1,304",NO,60.7,57.0,64.2
3,Marital Status,Married,"1,199",NO,56.3,52.3,60.1
3,Marital Status,Not married,"1,133",NO,67.1,63.2,70.8
